,county,year,num_ev
583,Yolo,2010,0
584,Yolo,2011,29
585,Yolo,2012,27
586,Yolo,2013,94
587,Yolo,2014,137
588,Yolo,2015,136
589,Yolo,2016,94
590,Yolo,2017,145
591,Yolo,2018,359
592,Yolo,2019,353
593,Yolo,2020,375
594,Alpine,2010,0
595,Alpine,2011,0
596,Alpine,2012,0
597,Alpine,2013,1
598,Alpine,2014,1
599,Alpine,2015,0
600,Alpine,2016,0
601,Alpine,2017,1
602,Alpine,2018,1
603,Alpine,2019,2
604,Alpine,2020,1
605,San Benito,2010,1
606,San Benito,2011,5
607,San Benito,2012,1
608,San Benito,2013,7
609,San Benito,2014,10
610,San Benito,2015,10
611,San Benito,2016,14
612,San Benito,2017,29
613,San Benito,2018,55
614,San Benito,2019,61
615,San Benito,2020,101
616,San Luis Obispo,2010,0
617,San Luis Obispo,2011,33
618,San Luis Obispo,2012,31
619,San Luis Obispo,2013,116
620,San Luis Obispo,2014,127
621,San Luis Obispo,2015,177
622,San Luis Obispo,2016,110
623,San Luis Obispo,2017,152
624,San Luis Obispo,2018,491
625,San Luis Obispo,2019,400
626,San Luis Obispo,2020,567
627,Lassen,2010,0
628,Lassen,2011,0
629,Lassen,2012,0
630,Lassen,2013,0
631,Lassen,2014,1
632,Lassen,2015,0
633,Lassen,2016,0
634,Lassen,2017,1
635,Lassen,2018,1
636,Lassen,2019,1
637,Lassen,2020,3
