"","county","year","total_chargers","csum"
"436","Ventura",2020,22,313
"437","Ventura",NA,243,556
"438","Yolo",2004,4,4
"439","Yolo",2008,51,55
"440","Yolo",2011,3,58
"441","Yolo",2012,4,62
"442","Yolo",2013,11,73
"443","Yolo",2014,3,76
"444","Yolo",2015,27,103
"445","Yolo",2016,12,115
"446","Yolo",2017,1,116
"447","Yolo",2018,5,121
"448","Yolo",2019,19,140
"449","Yolo",2020,12,152
"450","Yolo",NA,70,222
"451","Yuba",2015,3,3
"452","Yuba",2017,2,5
"453","Yuba",NA,9,14
